label,target,category
V06,NP2RISE#V06,numerical
V08,NP2RISE#V08,numerical
V10,NP2RISE#V10,numerical
V12,NP2RISE#V12,numerical
BL,NP2SALV#BL,numerical
V04,NP2SALV#V04,numerical
V06,NP2SALV#V06,numerical
V08,NP2SALV#V08,numerical
V10,NP2SALV#V10,numerical
V12,NP2SALV#V12,numerical
BL,NP2SPCH#BL,numerical
V04,NP2SPCH#V04,numerical
V06,NP2SPCH#V06,numerical
V08,NP2SPCH#V08,numerical
V10,NP2SPCH#V10,numerical
V12,NP2SPCH#V12,numerical
BL,NP2SWAL#BL,numerical
V04,NP2SWAL#V04,numerical
V06,NP2SWAL#V06,numerical
V08,NP2SWAL#V08,numerical
V10,NP2SWAL#V10,numerical
V12,NP2SWAL#V12,numerical
BL,NP2TRMR#BL,numerical
V04,NP2TRMR#V04,numerical
V06,NP2TRMR#V06,numerical
V08,NP2TRMR#V08,numerical
V10,NP2TRMR#V10,numerical
V12,NP2TRMR#V12,numerical
BL,NP2TURN#BL,numerical
V04,NP2TURN#V04,numerical
V06,NP2TURN#V06,numerical
V08,NP2TURN#V08,numerical
V10,NP2TURN#V10,numerical
V12,NP2TURN#V12,numerical
BL,NP2WALK#BL,numerical
V04,NP2WALK#V04,numerical
V06,NP2WALK#V06,numerical
V08,NP2WALK#V08,numerical
V10,NP2WALK#V10,numerical
V12,NP2WALK#V12,numerical
BL,NHY#BL,numerical
V04,NHY#V04,numerical
V06,NHY#V06,numerical
V08,NHY#V08,numerical
V10,NHY#V10,numerical
V12,NHY#V12,numerical
BL,NP3BRADY#BL,numerical
V04,NP3BRADY#V04,numerical
V06,NP3BRADY#V06,numerical
V08,NP3BRADY#V08,numerical
V10,NP3BRADY#V10,numerical
V12,NP3BRADY#V12,numerical
BL,NP3FACXP#BL,numerical
V04,NP3FACXP#V04,numerical
V06,NP3FACXP#V06,numerical
V08,NP3FACXP#V08,numerical
V10,NP3FACXP#V10,numerical
V12,NP3FACXP#V12,numerical
BL,NP3FRZGT#BL,numerical
V04,NP3FRZGT#V04,numerical
V06,NP3FRZGT#V06,numerical
V08,NP3FRZGT#V08,numerical
V10,NP3FRZGT#V10,numerical
V12,NP3FRZGT#V12,numerical
BL,NP3FTAPL#BL,numerical
V04,NP3FTAPL#V04,numerical
V06,NP3FTAPL#V06,numerical
V08,NP3FTAPL#V08,numerical
V10,NP3FTAPL#V10,numerical
V12,NP3FTAPL#V12,numerical
BL,NP3FTAPR#BL,numerical
V04,NP3FTAPR#V04,numerical
V06,NP3FTAPR#V06,numerical
V08,NP3FTAPR#V08,numerical
V10,NP3FTAPR#V10,numerical
V12,NP3FTAPR#V12,numerical
BL,NP3GAIT#BL,numerical
V04,NP3GAIT#V04,numerical
V06,NP3GAIT#V06,numerical
V08,NP3GAIT#V08,numerical
V10,NP3GAIT#V10,numerical
V12,NP3GAIT#V12,numerical
BL,NP3HMOVL#BL,numerical
V04,NP3HMOVL#V04,numerical
V06,NP3HMOVL#V06,numerical
V08,NP3HMOVL#V08,numerical
V10,NP3HMOVL#V10,numerical
V12,NP3HMOVL#V12,numerical
BL,NP3HMOVR#BL,numerical
V04,NP3HMOVR#V04,numerical
V06,NP3HMOVR#V06,numerical
V08,NP3HMOVR#V08,numerical
V10,NP3HMOVR#V10,numerical
V12,NP3HMOVR#V12,numerical
BL,NP3KTRML#BL,numerical
V04,NP3KTRML#V04,numerical
V06,NP3KTRML#V06,numerical
V08,NP3KTRML#V08,numerical
V10,NP3KTRML#V10,numerical
V12,NP3KTRML#V12,numerical
BL,NP3KTRMR#BL,numerical
V04,NP3KTRMR#V04,numerical
V06,NP3KTRMR#V06,numerical
V08,NP3KTRMR#V08,numerical
V10,NP3KTRMR#V10,numerical
V12,NP3KTRMR#V12,numerical
BL,NP3LGAGL#BL,numerical
V04,NP3LGAGL#V04,numerical
V06,NP3LGAGL#V06,numerical
V08,NP3LGAGL#V08,numerical
V10,NP3LGAGL#V10,numerical
V12,NP3LGAGL#V12,numerical
BL,NP3LGAGR#BL,numerical
V04,NP3LGAGR#V04,numerical
V06,NP3LGAGR#V06,numerical
V08,NP3LGAGR#V08,numerical
V10,NP3LGAGR#V10,numerical
V12,NP3LGAGR#V12,numerical
BL,NP3POSTR#BL,numerical
V04,NP3POSTR#V04,numerical
V06,NP3POSTR#V06,numerical
V08,NP3POSTR#V08,numerical
V10,NP3POSTR#V10,numerical
V12,NP3POSTR#V12,numerical
BL,NP3PRSPL#BL,numerical
V04,NP3PRSPL#V04,numerical
V06,NP3PRSPL#V06,numerical
V08,NP3PRSPL#V08,numerical
V10,NP3PRSPL#V10,numerical
V12,NP3PRSPL#V12,numerical
BL,NP3PRSPR#BL,numerical
V04,NP3PRSPR#V04,numerical
V06,NP3PRSPR#V06,numerical
V08,NP3PRSPR#V08,numerical
V10,NP3PRSPR#V10,numerical
V12,NP3PRSPR#V12,numerical
BL,NP3PSTBL#BL,numerical
V04,NP3PSTBL#V04,numerical
V06,NP3PSTBL#V06,numerical
V08,NP3PSTBL#V08,numerical
V10,NP3PSTBL#V10,numerical
V12,NP3PSTBL#V12,numerical
BL,NP3PTRML#BL,numerical
V04,NP3PTRML#V04,numerical
V06,NP3PTRML#V06,numerical
V08,NP3PTRML#V08,numerical
V10,NP3PTRML#V10,numerical
V12,NP3PTRML#V12,numerical
BL,NP3PTRMR#BL,numerical
V04,NP3PTRMR#V04,numerical
V06,NP3PTRMR#V06,numerical
V08,NP3PTRMR#V08,numerical
V10,NP3PTRMR#V10,numerical
V12,NP3PTRMR#V12,numerical
BL,NP3RIGLL#BL,numerical
V04,NP3RIGLL#V04,numerical
V06,NP3RIGLL#V06,numerical
V08,NP3RIGLL#V08,numerical
V10,NP3RIGLL#V10,numerical
V12,NP3RIGLL#V12,numerical
BL,NP3RIGLU#BL,numerical
V04,NP3RIGLU#V04,numerical
